
PARTICLE DATA
-------------
DATA CARDS MUST START IMMEDIATELY AFTER $PRBEG CARD
READING STOPS AT CARD $PREND99999
READING FORMAT: (6X,I5,5X,A5,3X,E12.5,4X,F6.2)
UNDEFINED MASSES OF HADRONS (I.E. LEFT BLANK) ARE SET EQUAL TO:
      SUM OF QUARK MASSES -.03 + .04*JSPIN
UNDEFINED MASSES OF W+, W- AND Z0 ARE SET EQUAL TO THEIR WEINBERG-SALAM
VALUES DIVIDED BY SQRT(0.9304) (MARCIANO AND SIRLIN).

      IDENT     LABEL           MASS    CHARGE

$PRBEG
   250,  3,   .90200,   241,   130,  -231,     0,     0/
   250,  3,   .91600,   241,   131,  -230,     0,     0/
   250,  3,   .93000,   241,   131,  -231,     0,     0/
   250,  3,   .93300,   240,  -140,   130,     0,     0/
   250,  3,   .93600,   240,  -140,   131,     0,     0/
   250,  3,   .93900,   240,  -141,   130,     0,     0/
   250,  3,   .94200,   240,  -141,   131,     0,     0/
   250,  3,   .94500,   241,  -140,   130,     0,     0/
   250,  3,   .94800,   241,  -140,   131,     0,     0/
   250,  3,   .95100,   241,  -141,   130,     0,     0/
   250,  3,   .95400,   241,  -141,   131,     0,     0/
   250,  3,   .95700,   240,  -240,   230,     0,     0/
   250,  3,   .96000,   240,  -240,   231,     0,     0/
   250,  3,   .96300,   240,  -241,   230,     0,     0/
   250,  3,   .96600,   240,  -241,   231,     0,     0/
   250,  3,   .96900,   241,  -240,   230,     0,     0/
   250,  3,   .97200,   241,  -240,   231,     0,     0/
   250,  3,   .97500,   241,  -241,   230,     0,     0/
   250,  3,   .97800,   241,  -241,   231,     0,     0/
   250,  3,   .97950,   240,  -340,   330,     0,     0/
   250,  3,   .98100,   240,  -340,   331,     0,     0/
   250,  3,   .98250,   240,  -341,   331,     0,     0/
   250,  3,   .98400,   240,  -341,   331,     0,     0/
   250,  3,   .98550,   241,  -340,   330,     0,     0/
   250,  3,   .98700,   241,  -340,   331,     0,     0/
   250,  3,   .98850,   241,  -341,   331,     0,     0/
   250,  3,   .99000,   241,  -341,   331,     0,     0/
   250,  3,   .99200,   441,   130,  -120,     0,     0/
   250,  3,   .99400,   441,   131,  -120,     0,     0/
   250,  3,   .99600,   441,   230,   220,     0,     0/
   250,  3,   .99800,   441,   231,   221,     0,     0/
   250,  3,   .99900,   441,   330,   230,     0,     0/
   250,  3,  1.00000,   441,   331,   230,     0,     0/
   350,  3,   .06000,   -12,    11,   340,     0,     0/
   350,  3,   .12000,   -12,    11,   341,     0,     0/
   350,  3,   .18000,   -14,    13,   340,     0,     0/
   350,  3,   .24000,   -14,    13,   341,     0,     0/
   350,  3,   .25500,   -16,    15,   340,     0,     0/
   350,  3,   .27000,   -16,    15,   341,     0,     0/
   350,  3,   .28050,   340,   120,     0,     0,     0/
   350,  3,   .29100,   340,   121,     0,     0,     0/
   350,  3,   .30150,   341,   120,     0,     0,     0/
   350,  3,   .31200,   341,   121,     0,     0,     0/
   350,  3,   .32650,   340,  -340,     0,     0,     0/
   350,  3,   .34100,   340,  -341,     0,     0,     0/
   350,  3,   .35550,   341,  -340,     0,     0,     0/
   350,  3,   .37000,   341,  -341,     0,     0,     0/
   350,  3,   .39800,   340,   120,   110,     0,     0/
   350,  3,   .42600,   340,   120,   220,     0,     0/
   350,  3,   .45400,   340,   120,   111,     0,     0/
   350,  3,   .48200,   340,   120,   221,     0,     0/
   350,  3,   .51000,   340,   121,   110,     0,     0/
   350,  3,   .53800,   340,   121,   220,     0,     0/
   350,  3,   .56600,   340,   121,   111,     0,     0/
   350,  3,   .59400,   340,   121,   221,     0,     0/
   350,  3,   .62200,   341,   120,   110,     0,     0/
   350,  3,   .65000,   341,   120,   220,     0,     0/
   350,  3,   .67800,   341,   120,   111,     0,     0/
   350,  3,   .70600,   341,   120,   221,     0,     0/
   350,  3,   .73400,   341,   121,   110,     0,     0/
   350,  3,   .76200,   341,   121,   220,     0,     0/
   350,  3,   .79000,   341,   121,   111,     0,     0/
   350,  3,   .81800,   341,   121,   221,     0,     0/
   350,  3,   .83200,   340,   130,  -230,     0,     0/
   350,  3,   .84600,   340,   130,  -231,     0,     0/
   350,  3,   .86000,   340,   131,  -230,     0,     0/
   350,  3,   .87400,   340,   131,  -231,     0,     0/
   350,  3,   .88800,   341,   130,  -230,     0,     0/
   350,  3,   .90200,   341,   130,  -231,     0,     0/
   350,  3,   .91600,   341,   131,  -230,     0,     0/
   350,  3,   .93000,   341,   131,  -231,     0,     0/
   350,  3,   .93300,   340,  -140,   130,     0,     0/
   350,  3,   .93600,   340,  -140,   131,     0,     0/
   350,  3,   .93900,   340,  -141,   130,     0,     0/
   350,  3,   .94200,   340,  -141,   131,     0,     0/
   350,  3,   .94500,   341,  -140,   130,     0,     0/
   350,  3,   .94800,   341,  -140,   131,     0,     0/
   350,  3,   .95100,   341,  -141,   130,     0,     0/
   350,  3,   .95400,   341,  -141,   131,     0,     0/
   350,  3,   .95700,   340,  -240,   230,     0,     0/
   350,  3,   .96000,   340,  -240,   231,     0,     0/
   350,  3,   .96300,   340,  -241,   230,     0,     0/
   350,  3,   .96600,   340,  -241,   231,     0,     0/
   350,  3,   .96900,   341,  -240,   230,     0,     0/
   350,  3,   .97200,   341,  -240,   231,     0,     0/
   350,  3,   .97500,   341,  -241,   230,     0,     0/
   350,  3,   .97800,   341,  -241,   231,     0,     0/
   350,  3,   .97950,   340,  -340,   330,     0,     0/
   350,  3,   .98100,   340,  -340,   331,     0,     0/
   350,  3,   .98250,   340,  -341,   331,     0,     0/
   350,  3,   .98400,   340,  -341,   331,     0,     0/
   350,  3,   .98550,   341,  -340,   330,     0,     0/
   350,  3,   .98700,   341,  -340,   331,     0,     0/
   350,  3,   .98850,   341,  -341,   331,     0,     0/
   350,  3,   .99000,   341,  -341,   331,     0,     0/
   350,  3,   .99200,   441,   130,  -130,     0,     0/
   350,  3,   .99400,   441,   131,  -130,     0,     0/
   350,  3,   .99600,   441,   230,  -230,     0,     0/
   350,  3,   .99800,   441,   231,  -230,     0,     0/
   350,  3,   .99900,   441,   330,   330,     0,     0/
   350,  3,  1.00000,   441,   331,   331,     0,     0/
   160,  3,   .33330,    -1,     2,    -5,     0,     0/
   160,  3,   .66660,    -4,     3,    -5,     0,     0/
   160,  3,   .77770,   -11,    12,    -5,     0,     0/
   160,  3,   .88880,   -13,    14,    -5,     0,     0/
   160,  3,  1.00000,   -15,    16,    -5,     0,     0/
   260,  3,   .33330,    -1,     2,    -5,     0,     0/
   260,  3,   .66660,    -4,     3,    -5,     0,     0/
   260,  3,   .77770,   -11,    12,    -5,     0,     0/
   260,  3,   .88880,   -13,    14,    -5,     0,     0/
   260,  3,  1.00000,   -15,    16,    -5,     0,     0/
   360,  3,   .33330,    -1,     2,    -5,     0,     0/
   360,  3,   .66660,    -4,     3,    -5,     0,     0/
   360,  3,   .77770,   -11,    12,    -5,     0,     0/
   360,  3,   .88880,   -13,    14,    -5,     0,     0/
   360,  3,  1.00000,   -15,    16,    -5,     0,     0/
   151,  1,  1.00000,   150,    10,     0,     0,     0/
   251,  1,  1.00000,   250,    10,     0,     0,     0/
   351,  1,  1.00000,   350,    10,     0,     0,     0/
   161,  1,  1.00000,   160,    10,     0,     0,     0/
   261,  1,  1.00000,   260,    10,     0,     0,     0/
   361,  1,  1.00000,   360,    10,     0,     0,     0/
  1230,  2,  1.00000,  2130,    10,     0,     0,     0/
  1111,  1,  1.00000,  1120,   120,     0,     0,     0/
  1121,  1,   .66670,  1120,   110,     0,     0,     0/
  1121,  1,  1.00000,  1220,   120,     0,     0,     0/
  1221,  1,   .66670,  1220,   110,     0,     0,     0/
  1221,  1,  1.00000,  1120,  -120,     0,     0,     0/
  2221,  1,  1.00000,  1220,  -120,     0,     0,     0/
  1131,  1,   .88000,  2130,   120,     0,     0,     0/
  1131,  1,   .94000,  1130,   110,     0,     0,     0/
  1131,  1,  1.00000,  1230,   120,     0,     0,     0/
  1231,  1,   .88000,  2130,   110,     0,     0,     0/
  1231,  1,   .94000,  1130,  -120,     0,     0,     0/
  1231,  1,  1.00000,  2230,   120,     0,     0,     0/
  2231,  1,   .88000,  2130,  -120,     0,     0,     0/
  2231,  1,   .94000,  1230,  -120,     0,     0,     0/
  2231,  1,  1.00000,  2230,   110,     0,     0,     0/
  1331,  1,   .66670,  2330,   120,     0,     0,     0/
  1331,  1,  1.00000,  1330,   110,     0,     0,     0/
  2331,  1,   .66670,  1330,  -120,     0,     0,     0/
  2331,  1,  1.00000,  2330,   110,     0,     0,     0/
    16,  3,   .18000,    12,   -11,    15,     0,     0/
    16,  3,   .36000,    14,   -13,    15,     0,     0/
    16,  3,   .47000,  -120,    15,     0,     0,     0/
    16,  3,   .69000,  -121,    15,     0,     0,     0/
    16,  3,   .77000,   110,   110,  -120,    15,     0/
    16,  3,   .83000,   120,  -120,  -120,    15,     0/
    16,  3,   .91000,  -120,   110,   110,   110,    15/
    16,  3,   .98000,   120,   110,  -120,  -120,    15/
    16,  3,   .98800,  -130,    15,     0,     0,     0/
    16,  3,  1.00000,  -131,    15,     0,     0,     0/
  2140,  3,   .03750,   -12,    11,  2130,     0,     0/
  2140,  3,   .07500,   -12,    11,  1231,     0,     0/
  2140,  3,   .11250,   -14,    13,  2130,     0,     0/
  2140,  3,   .15000,   -14,    13,  1231,     0,     0/
  2140,  3,   .18200,  2130,   120,     0,     0,     0/
  2140,  3,   .21300,  1230,   110,     0,     0,     0/
  2140,  3,   .24400,  1120,  -230,     0,     0,     0/
  2140,  3,   .29500,  1131,   110,     0,     0,     0/
  2140,  3,   .34600,  1231,   120,     0,     0,     0/
  2140,  3,   .39700,  1121,  -230,     0,     0,     0/
  2140,  3,   .44800,  1111,  -130,     0,     0,     0/
  2140,  3,   .49900,  1130,   111,     0,     0,     0/
  2140,  3,   .55000,  1230,   121,     0,     0,     0/
  2140,  3,   .60100,  1120,  -231,     0,     0,     0/
  2140,  3,   .65800,  1120,  -230,   120,  -120,     0/
  2140,  3,   .71500,  1120,  -230,   110,   110,     0/
  2140,  3,   .77200,  1120,  -130,   120,   110,     0/
  2140,  3,   .82900,  1220,  -230,   120,   110,     0/
  2140,  3,   .88600,  1220,  -130,   120,   120,     0/
  2140,  3,   .94300,  2130,   120,   120,  -120,     0/
  2140,  3,  1.00000,  2130,   120,   110,   110,     0/
  1140,  1,  1.00000,  2140,   120,     0,     0,     0/
  1240,  1,  1.00000,  2140,   110,     0,     0,     0/
  2240,  1,  1.00000,  2140,  -120,     0,     0,     0/
  1340,  3,   .03750,   -12,    11,  1330,     0,     0/
  1340,  3,   .07500,   -12,    11,  1331,     0,     0/
  1340,  3,   .11250,   -14,    13,  1330,     0,     0/
  1340,  3,   .15000,   -14,    13,  1331,     0,     0/
  1340,  3,   .19900,  1330,   120,     0,     0,     0/
  1340,  3,   .24800,  1231,  -230,     0,     0,     0/
  1340,  3,   .28800,  1330,   120,     0,     0,     0/
  1340,  3,   .32800,  1131,  -230,     0,     0,     0/
  1340,  3,   .36800,  1330,   121,     0,     0,     0/
  1340,  3,   .40800,  1130,  -230,     0,     0,     0/
  1340,  3,   .44800,  1330,   120,   110,     0,     0/
  1340,  3,   .48800,  2330,   120,   120,     0,     0/
  1340,  3,   .52800,  1130,  -130,   120,     0,     0/
  1340,  3,   .56800,  1130,  -230,   110,     0,     0/
  1340,  3,   .60800,  1230,  -230,   120,     0,     0/
  1340,  3,   .66400,  2130,  -230,   120,   110,     0/
  1340,  3,   .72000,  2130,  -130,   120,   120,     0/
  1340,  3,   .77600,  1130,  -230,   120,   120,     0/
  1340,  3,   .83200,  1130,  -230,   110,   110,     0/
  1340,  3,   .88800,  1330,   120,   120,  -120,     0/
  1340,  3,   .94400,  1330,   120,   110,   110,     0/
  1340,  3,  1.00000,  2330,   120,   120,   110,     0/
  3140,  3,   .03750,   -12,    11,  1330,     0,     0/
  3140,  3,   .07500,   -12,    11,  1331,     0,     0/
  3140,  3,   .11250,   -14,    13,  1330,     0,     0/
  3140,  3,   .15000,   -14,    13,  1331,     0,     0/
  3140,  3,   .19900,  1330,   120,     0,     0,     0/
  3140,  3,   .24800,  1231,  -230,     0,     0,     0/
  3140,  3,   .28800,  1330,   120,     0,     0,     0/
  3140,  3,   .32800,  1131,  -230,     0,     0,     0/
  3140,  3,   .36800,  1330,   121,     0,     0,     0/
  3140,  3,   .40800,  1130,  -230,     0,     0,     0/
  3140,  3,   .44800,  1330,   120,   110,     0,     0/
  3140,  3,   .48800,  2330,   120,   120,     0,     0/
  3140,  3,   .52800,  1130,  -130,   120,     0,     0/
  3140,  3,   .56800,  1130,  -230,   110,     0,     0/
  3140,  3,   .60800,  1230,  -230,   120,     0,     0/
  3140,  3,   .66400,  2130,  -230,   120,   110,     0/
  3140,  3,   .72000,  2130,  -130,   120,   120,     0/
  3140,  3,   .77600,  1130,  -230,   120,   120,     0/
  3140,  3,   .83200,  1130,  -230,   110,   110,     0/
  3140,  3,   .88800,  1330,   120,   120,  -120,     0/
  3140,  3,   .94400,  1330,   120,   110,   110,     0/
  3140,  3,  1.00000,  2330,   120,   120,   110,     0/
  2340,  3,   .03750,   -12,    11,  2330,     0,     0/
  2340,  3,   .07500,   -12,    11,  2331,     0,     0/
  2340,  3,   .11250,   -14,    13,  2330,     0,     0/
  2340,  3,   .15000,   -14,    13,  2331,     0,     0/
  2340,  3,   .17500,  2330,   120,     0,     0,     0/
  2340,  3,   .20000,  1330,   110,     0,     0,     0/
  2340,  3,   .22500,  1130,  -130,     0,     0,     0/
  2340,  3,   .25000,  1230,  -230,     0,     0,     0/
  2340,  3,   .29500,  2331,   120,     0,     0,     0/
  2340,  3,   .34000,  1331,   110,     0,     0,     0/
  2340,  3,   .38500,  1131,  -130,     0,     0,     0/
  2340,  3,   .43000,  1231,  -230,     0,     0,     0/
  2340,  3,   .47500,  2330,   121,     0,     0,     0/
  2340,  3,   .52000,  1330,   111,     0,     0,     0/
  2340,  3,   .56500,  1130,  -131,     0,     0,     0/
  2340,  3,   .61000,  1230,  -231,     0,     0,     0/
  2340,  3,   .64900,  2130,  -230,   120,  -120,     0/
  2340,  3,   .68800,  2130,  -230,   110,   110,     0/
  2340,  3,   .72700,  2130,  -130,   120,   110,     0/
  2340,  3,   .76600,  1130,  -230,  -120,   110,     0/
  2340,  3,   .80500,  1130,  -130,   120,  -120,     0/
  2340,  3,   .84400,  1130,  -130,   110,   110,     0/
  2340,  3,   .88300,  1330,   120,  -120,   110,     0/
  2340,  3,   .92200,  1330,   110,   110,   110,     0/
  2340,  3,   .96100,  2330,   120,   120,  -120,     0/
  2340,  3,  1.00000,  2330,   120,   110,   110,     0/
  3240,  3,   .03750,   -12,    11,  2330,     0,     0/
  3240,  3,   .07500,   -12,    11,  2331,     0,     0/
  3240,  3,   .11250,   -14,    13,  2330,     0,     0/
  3240,  3,   .15000,   -14,    13,  2331,     0,     0/
  3240,  3,   .17500,  2330,   120,     0,     0,     0/
  3240,  3,   .20000,  1330,   110,     0,     0,     0/
  3240,  3,   .22500,  1130,  -130,     0,     0,     0/
  3240,  3,   .25000,  1230,  -230,     0,     0,     0/
  3240,  3,   .29500,  2331,   120,     0,     0,     0/
  3240,  3,   .34000,  1331,   110,     0,     0,     0/
  3240,  3,   .38500,  1131,  -130,     0,     0,     0/
  3240,  3,   .43000,  1231,  -230,     0,     0,     0/
  3240,  3,   .47500,  2330,   121,     0,     0,     0/
  3240,  3,   .52000,  1330,   111,     0,     0,     0/
  3240,  3,   .56500,  1130,  -131,     0,     0,     0/
  3240,  3,   .61000,  1230,  -231,     0,     0,     0/
  3240,  3,   .64900,  2130,  -230,   120,  -120,     0/
  3240,  3,   .68800,  2130,  -230,   110,   110,     0/
  3240,  3,   .72700,  2130,  -130,   120,   110,     0/
  3240,  3,   .76600,  1130,  -230,  -120,   110,     0/
  3240,  3,   .80500,  1130,  -130,   120,  -120,     0/
  3240,  3,   .84400,  1130,  -130,   110,   110,     0/
  3240,  3,   .88300,  1330,   120,  -120,   110,     0/
  3240,  3,   .92200,  1330,   110,   110,   110,     0/
  3240,  3,   .96100,  2330,   120,   120,  -120,     0/
  3240,  3,  1.00000,  2330,   120,   110,   110,     0/
  3340,  3,   .07500,   -12,    11,  3331,     0,     0/
  3340,  3,   .15000,   -14,    13,  3331,     0,     0/
  3340,  3,   .25000,  1330,  -230,     0,     0,     0/
  3340,  3,   .31000,  3331,   120,     0,     0,     0/
  3340,  3,   .37000,  1331,  -230,     0,     0,     0/
  3340,  3,   .43000,  1330,  -231,     0,     0,     0/
  3340,  3,   .49000,  2330,  -230,   120,     0,     0/
  3340,  3,   .55000,  1330,  -230,   110,     0,     0/
  3340,  3,   .61000,  1330,  -130,   120,     0,     0/
  3340,  3,   .67500,  3331,   120,   120,  -120,     0/
  3340,  3,   .74000,  3331,   120,   110,   110,     0/
  3340,  3,   .80500,  1330,  -230,   120,  -120,     0/
  3340,  3,   .87000,  1330,  -230,   110,   110,     0/
  3340,  3,   .93500,  2330,  -230,   120,   110,     0/
  3340,  3,  1.00000,  2330,  -130,   120,   120,     0/
  1141,  1,  1.00000,  2140,   120,     0,     0,     0/
  1241,  1,  1.00000,  2140,   110,     0,     0,     0/
  2241,  1,  1.00000,  2140,  -120,     0,     0,     0/
  1341,  1,   .66670,  2340,   120,     0,     0,     0/
  1341,  1,  1.00000,  1340,   110,     0,     0,     0/
  2341,  1,   .66670,  1340,  -120,     0,     0,     0/
  2341,  1,  1.00000,  2340,   110,     0,     0,     0/
  3341,  1,  1.00000,  3340,   110,     0,     0,     0/
  1150,  3,   .06000,    12,   -11,  1140,     0,     0/
  1150,  3,   .12000,    12,   -11,  1141,     0,     0/
  1150,  3,   .18000,    14,   -13,  1140,     0,     0/
  1150,  3,   .24000,    14,   -13,  1141,     0,     0/
  1150,  3,   .25500,    16,   -15,  1140,     0,     0/
  1150,  3,   .27000,    16,   -15,  1141,     0,     0/
  1150,  3,   .28925,  1140,  -120,     0,     0,     0/
  1150,  3,   .30850,  1140,  -121,     0,     0,     0/
  1150,  3,   .32775,  1141,  -120,     0,     0,     0/
  1150,  3,   .34700,  1141,  -121,     0,     0,     0/
  1150,  3,   .35775,  1140,   340,     0,     0,     0/
  1150,  3,   .36850,  1140,   341,     0,     0,     0/
  1150,  3,   .37925,  1141,   340,     0,     0,     0/
  1150,  3,   .39000,  1141,   341,     0,     0,     0/
  1150,  3,   .42050,  1140,  -120,   110,     0,     0/
  1150,  3,   .45100,  1140,  -120,   220,     0,     0/
  1150,  3,   .48150,  1140,  -120,   111,     0,     0/
  1150,  3,   .51200,  1140,  -120,   221,     0,     0/
  1150,  3,   .54250,  1140,  -121,   110,     0,     0/
  1150,  3,   .57300,  1140,  -121,   220,     0,     0/
  1150,  3,   .60350,  1140,  -121,   111,     0,     0/
  1150,  3,   .63400,  1140,  -121,   221,     0,     0/
  1150,  3,   .66450,  1141,  -120,   110,     0,     0/
  1150,  3,   .69500,  1141,  -120,   220,     0,     0/
  1150,  3,   .72550,  1141,  -120,   111,     0,     0/
  1150,  3,   .75600,  1141,  -120,   221,     0,     0/
  1150,  3,   .78650,  1141,  -121,   110,     0,     0/
  1150,  3,   .81700,  1141,  -121,   220,     0,     0/
  1150,  3,   .84750,  1141,  -121,   111,     0,     0/
  1150,  3,   .87800,  1141,  -121,   221,     0,     0/
  1150,  3,   .89325,  1140,  -130,   230,     0,     0/
  1150,  3,   .90850,  1140,  -130,   231,     0,     0/
  1150,  3,   .92375,  1140,  -131,   230,     0,     0/
  1150,  3,   .93900,  1140,  -131,   231,     0,     0/
  1150,  3,   .95425,  1141,  -130,   230,     0,     0/
  1150,  3,   .96950,  1141,  -130,   231,     0,     0/
  1150,  3,   .98475,  1141,  -131,   230,     0,     0/
  1150,  3,  1.00000,  1141,  -131,   231,     0,     0/
  1250,  3,   .06000,    12,   -11,  1240,     0,     0/
  1250,  3,   .12000,    12,   -11,  1241,     0,     0/
  1250,  3,   .18000,    14,   -13,  1240,     0,     0/
  1250,  3,   .24000,    14,   -13,  1241,     0,     0/
  1250,  3,   .25500,    16,   -15,  1240,     0,     0/
  1250,  3,   .27000,    16,   -15,  1241,     0,     0/
  1250,  3,   .28925,  1240,  -120,     0,     0,     0/
  1250,  3,   .30850,  1240,  -121,     0,     0,     0/
  1250,  3,   .32775,  1241,  -120,     0,     0,     0/
  1250,  3,   .34700,  1241,  -121,     0,     0,     0/
  1250,  3,   .35775,  1240,   340,     0,     0,     0/
  1250,  3,   .36850,  1240,   341,     0,     0,     0/
  1250,  3,   .37925,  1241,   340,     0,     0,     0/
  1250,  3,   .39000,  1241,   341,     0,     0,     0/
  1250,  3,   .42050,  1240,  -120,   110,     0,     0/
  1250,  3,   .45100,  1240,  -120,   220,     0,     0/
  1250,  3,   .48150,  1240,  -120,   111,     0,     0/
  1250,  3,   .51200,  1240,  -120,   221,     0,     0/
  1250,  3,   .54250,  1240,  -121,   110,     0,     0/
  1250,  3,   .57300,  1240,  -121,   220,     0,     0/
  1250,  3,   .60350,  1240,  -121,   111,     0,     0/
  1250,  3,   .63400,  1240,  -121,   221,     0,     0/
  1250,  3,   .66450,  1241,  -120,   110,     0,     0/
  1250,  3,   .69500,  1241,  -120,   220,     0,     0/
  1250,  3,   .72550,  1241,  -120,   111,     0,     0/
  1250,  3,   .75600,  1241,  -120,   221,     0,     0/
  1250,  3,   .78650,  1241,  -121,   110,     0,     0/
  1250,  3,   .81700,  1241,  -121,   220,     0,     0/
  1250,  3,   .84750,  1241,  -121,   111,     0,     0/
  1250,  3,   .87800,  1241,  -121,   221,     0,     0/
  1250,  3,   .89325,  1240,  -130,   230,     0,     0/
  1250,  3,   .90850,  1240,  -130,   231,     0,     0/
  1250,  3,   .92375,  1240,  -131,   230,     0,     0/
  1250,  3,   .93900,  1240,  -131,   231,     0,     0/
  1250,  3,   .95425,  1241,  -130,   230,     0,     0/
  1250,  3,   .96950,  1241,  -130,   231,     0,     0/
  1250,  3,   .98475,  1241,  -131,   230,     0,     0/
  1250,  3,  1.00000,  1241,  -131,   231,     0,     0/
  1350,  3,   .06000,    12,   -11,  1340,     0,     0/
  1350,  3,   .12000,    12,   -11,  1341,     0,     0/
  1350,  3,   .18000,    14,   -13,  1340,     0,     0/
  1350,  3,   .24000,    14,   -13,  1341,     0,     0/
  1350,  3,   .25500,    16,   -15,  1340,     0,     0/
  1350,  3,   .27000,    16,   -15,  1341,     0,     0/
  1350,  3,   .28925,  1340,  -120,     0,     0,     0/
  1350,  3,   .30850,  1340,  -121,     0,     0,     0/
  1350,  3,   .32775,  1341,  -120,     0,     0,     0/
  1350,  3,   .34700,  1341,  -121,     0,     0,     0/
  1350,  3,   .35775,  1340,   340,     0,     0,     0/
  1350,  3,   .36850,  1340,   341,     0,     0,     0/
  1350,  3,   .37925,  1341,   340,     0,     0,     0/
  1350,  3,   .39000,  1341,   341,     0,     0,     0/
  1350,  3,   .42050,  1340,  -120,   110,     0,     0/
  1350,  3,   .45100,  1340,  -120,   220,     0,     0/
  1350,  3,   .48150,  1340,  -120,   111,     0,     0/
  1350,  3,   .51200,  1340,  -120,   221,     0,     0/
  1350,  3,   .54250,  1340,  -121,   110,     0,     0/
  1350,  3,   .57300,  1340,  -121,   220,     0,     0/
  1350,  3,   .60350,  1340,  -121,   111,     0,     0/
  1350,  3,   .63400,  1340,  -121,   221,     0,     0/
  1350,  3,   .66450,  1341,  -120,   110,     0,     0/
  1350,  3,   .69500,  1341,  -120,   220,     0,     0/
  1350,  3,   .72550,  1341,  -120,   111,     0,     0/
  1350,  3,   .75600,  1341,  -120,   221,     0,     0/
  1350,  3,   .78650,  1341,  -121,   110,     0,     0/
  1350,  3,   .81700,  1341,  -121,   220,     0,     0/
  1350,  3,   .84750,  1341,  -121,   111,     0,     0/
  1350,  3,   .87800,  1341,  -121,   221,     0,     0/
  1350,  3,   .89325,  1340,  -130,   230,     0,     0/
  1350,  3,   .90850,  1340,  -130,   231,     0,     0/
  1350,  3,   .92375,  1340,  -131,   230,     0,     0/
  1350,  3,   .93900,  1340,  -131,   231,     0,     0/
  1350,  3,   .95425,  1341,  -130,   230,     0,     0/
  1350,  3,   .96950,  1341,  -130,   231,     0,     0/
  1350,  3,   .98475,  1341,  -131,   230,     0,     0/
  1350,  3,  1.00000,  1341,  -131,   231,     0,     0/
  2150,  3,   .06000,    12,   -11,  2140,     0,     0/
  2150,  3,   .12000,    12,   -11,  1241,     0,     0/
  2150,  3,   .18000,    14,   -13,  2140,     0,     0/
  2150,  3,   .24000,    14,   -13,  1241,     0,     0/
  2150,  3,   .25500,    16,   -15,  2140,     0,     0/
  2150,  3,   .27000,    16,   -15,  1241,     0,     0/
  2150,  3,   .28925,  2140,  -120,     0,     0,     0/
  2150,  3,   .30850,  2140,  -121,     0,     0,     0/
  2150,  3,   .32775,  1241,  -120,     0,     0,     0/
  2150,  3,   .34700,  1241,  -121,     0,     0,     0/
  2150,  3,   .35775,  2140,   340,     0,     0,     0/
  2150,  3,   .36850,  2140,   341,     0,     0,     0/
  2150,  3,   .37925,  1241,   340,     0,     0,     0/
  2150,  3,   .39000,  1241,   341,     0,     0,     0/
  2150,  3,   .42050,  2140,  -120,   110,     0,     0/
  2150,  3,   .45100,  2140,  -120,   220,     0,     0/
  2150,  3,   .48150,  2140,  -120,   111,     0,     0/
  2150,  3,   .51200,  2140,  -120,   221,     0,     0/
  2150,  3,   .54250,  2140,  -121,   110,     0,     0/
  2150,  3,   .57300,  2140,  -121,   220,     0,     0/
  2150,  3,   .60350,  2140,  -121,   111,     0,     0/
  2150,  3,   .63400,  2140,  -121,   221,     0,     0/
  2150,  3,   .66450,  1241,  -120,   110,     0,     0/
  2150,  3,   .69500,  1241,  -120,   220,     0,     0/
  2150,  3,   .72550,  1241,  -120,   111,     0,     0/
  2150,  3,   .75600,  1241,  -120,   221,     0,     0/
  2150,  3,   .78650,  1241,  -121,   110,     0,     0/
  2150,  3,   .81700,  1241,  -121,   220,     0,     0/
  2150,  3,   .84750,  1241,  -121,   111,     0,     0/
  2150,  3,   .87800,  1241,  -121,   221,     0,     0/
  2150,  3,   .89325,  2140,  -130,   230,     0,     0/
  2150,  3,   .90850,  2140,  -130,   231,     0,     0/
  2150,  3,   .92375,  2140,  -131,   230,     0,     0/
  2150,  3,   .93900,  2140,  -131,   231,     0,     0/
  2150,  3,   .95425,  1241,  -130,   230,     0,     0/
  2150,  3,   .96950,  1241,  -130,   231,     0,     0/
  2150,  3,   .98475,  1241,  -131,   230,     0,     0/
  2150,  3,  1.00000,  1241,  -131,   231,     0,     0/
  2250,  3,   .06000,    12,   -11,  2240,     0,     0/
  2250,  3,   .12000,    12,   -11,  2241,     0,     0/
  2250,  3,   .18000,    14,   -13,  2240,     0,     0/
  2250,  3,   .24000,    14,   -13,  2241,     0,     0/
  2250,  3,   .25500,    16,   -15,  2240,     0,     0/
  2250,  3,   .27000,    16,   -15,  2241,     0,     0/
  2250,  3,   .28925,  2240,  -120,     0,     0,     0/
  2250,  3,   .30850,  2240,  -121,     0,     0,     0/
  2250,  3,   .32775,  2241,  -120,     0,     0,     0/
  2250,  3,   .34700,  2241,  -121,     0,     0,     0/
  2250,  3,   .35775,  2240,   340,     0,     0,     0/
  2250,  3,   .36850,  2240,   341,     0,     0,     0/
  2250,  3,   .37925,  2241,   340,     0,     0,     0/
  2250,  3,   .39000,  2241,   341,     0,     0,     0/
  2250,  3,   .42050,  2240,  -120,   110,     0,     0/
  2250,  3,   .45100,  2240,  -120,   220,     0,     0/
  2250,  3,   .48150,  2240,  -120,   111,     0,     0/
  2250,  3,   .51200,  2240,  -120,   221,     0,     0/
  2250,  3,   .54250,  2240,  -121,   110,     0,     0/
  2250,  3,   .57300,  2240,  -121,   220,     0,     0/
