
PARTICLE DATA
-------------
DATA CARDS MUST START IMMEDIATELY AFTER $PRBEG CARD
READING STOPS AT CARD $PREND99999
READING FORMAT: (6X,I5,5X,A5,3X,E12.5,4X,F6.2)
UNDEFINED MASSES OF HADRONS (I.E. LEFT BLANK) ARE SET EQUAL TO:
      SUM OF QUARK MASSES -.03 + .04*JSPIN
UNDEFINED MASSES OF W+, W- AND Z0 ARE SET EQUAL TO THEIR WEINBERG-SALAM
VALUES DIVIDED BY SQRT(0.9304) (MARCIANO AND SIRLIN).

      IDENT     LABEL           MASS    CHARGE

$PRBEG
       2250     DDB.      .54700E+01     -1.00
      -2250     ADDB.     .54700E+01      1.00
       1350     USB.      .56700E+01      0.00
      -1350     AUSB.     .56700E+01      0.00
       3150     SUB.      .56700E+01      0.00
      -3150     ASUB.     .56700E+01      0.00
       2350     DSB.      .56700E+01     -1.00
      -2350     ADSB.     .56700E+01      1.00
       3250     SDB.      .56700E+01     -1.00
      -3250     ASDB.     .56700E+01      1.00
       3350     SSB.      .58700E+01     -1.00
      -3350     ASSB.     .58700E+01      1.00
       1450     UCB.      .67700E+01      1.00
      -1450     AUCB.     .67700E+01     -1.00
       4150     CUB.      .67700E+01      1.00
      -4150     ACUB.     .67700E+01     -1.00
       2450     DCB.      .67700E+01      0.00
      -2450     ADCB.     .67700E+01      0.00
       4250     CDB.      .67700E+01      0.00
      -4250     ACDB.     .67700E+01      0.00
       3450     SCB.      .69700E+01      0.00
      -3450     ASCB.     .69700E+01      0.00
       4350     CSB.      .69700E+01      0.00
      -4350     ACSB.     .69700E+01      0.00
       4450     CCB.      .80700E+01      1.00
      -4450     ACCB.     .80700E+01     -1.00
       1550     UBB.      .10070E+02      0.00
      -1550     AUBB.     .10070E+02      0.00
       2550     DBB.      .10070E+02     -1.00
      -2550     ADBB.     .10070E+02      1.00
       3550     SBB.      .10270E+02     -1.00
      -3550     ASBB.     .10270E+02      1.00
       4550     CBB.      .11370E+02      0.00
      -4550     ACBB.     .11370E+02      0.00
       1160     UTT.                      2.00
      -1160     AUTT.                    -2.00
       1260     UDT.                      1.00
      -1260     AUDT.                    -1.00
       2160     DUT.                      1.00
      -2160     ADUT.                    -1.00
       2260     DDT.                      0.00
      -2260     ADDT.                     0.00
       1360     UST.                      1.00
      -1360     AUST.                    -1.00
       3160     SUT.                      1.00
      -3160     ASUT.                    -1.00
       2360     DST.                      0.00
      -2360     ADST.                     0.00
       3260     SDT.                      0.00
      -3260     ASDT.                     0.00
       3360     SST.                      0.00
      -3360     ASST.                     0.00
       1460     UCT.                      2.00
      -1460     AUCT.                    -2.00
       4160     CUT.                      2.00
      -4160     ACUT.                    -2.00
       2460     DCT.                      1.00
      -2460     ADCT.                    -1.00
       4260     CDT.                      1.00
      -4260     ACDT.                    -1.00
       3460     SCT.                      1.00
      -3460     ASCT.                    -1.00
       4360     CST.                      1.00
      -4360     ACST.                    -1.00
       4460     CCT.                      2.00
      -4460     ACCT.                    -2.00
       1560     UBT.                      1.00
      -1560     AUBT.                    -1.00
       5160     BUT.                      1.00
      -5160     ABUT.                    -1.00
       2560     DBT.                      0.00
      -2560     ADBT.                     0.00
       5260     BDT.                      0.00
      -5260     ABDT.                     0.00
       3560     SBT.                      0.00
      -3560     ASBT.                     0.00
       5360     BST.                      0.00
      -5360     ABST.                     0.00
       4560     CBT.                      1.00
      -4560     ACBT.                    -1.00
       5460     BCT.                      1.00
      -5460     ABCT.                    -1.00
       5560     BBT.                      0.00
      -5560     ABBT.                     0.00
       1660     UTT.                      2.00
      -1660     AUTT.                    -2.00
       2660     DTT.                      1.00
      -2660     ADTT.                    -1.00
       3660     STT.                      1.00
      -3660     ASTT.                    -1.00
       4660     CTT.                      2.00
      -4660     ACTT.                    -2.00
       5660     BTT.                      1.00
      -5660     ABTT.                    -1.00

       1111     DL++      .12320E+01      2.00
      -1111     ADL--     .12320E+01     -2.00
       1121     DL+       .12320E+01      1.00
      -1121     ADL-      .12320E+01     -1.00
       1221     DL0       .12320E+01      0.00
      -1221     ADL0      .12320E+01      0.00
       2221     DL-       .12320E+01     -1.00
